iter	Passed	Remaining
244	1306	4025
245	1308	4009
246	1310	3995
247	1313	3984
248	1320	3983
249	1322	3967
250	1324	3950
251	1326	3936
252	1331	3931
253	1335	3922
254	1337	3907
255	1339	3892
256	1342	3882
257	1347	3874
258	1350	3864
259	1352	3850
260	1360	3852
261	1362	3838
262	1374	3852
263	1376	3837
264	1379	3827
265	1386	3826
266	1388	3812
267	1390	3799
268	1392	3784
269	1397	3777
270	1399	3763
271	1400	3748
272	1403	3736
273	1404	3721
274	1407	3710
275	1409	3696
276	1410	3682
277	1412	3669
278	1415	3658
279	1420	3652
280	1422	3639
281	1423	3624
282	1426	3614
283	1434	3617
284	1436	3604
285	1437	3589
286	1442	3582
287	1446	3577
288	1449	3566
289	1451	3552
290	1452	3539
291	1461	3543
292	1463	3530
293	1465	3518
294	1473	3520
295	1475	3508
296	1477	3498
297	1486	3501
298	1503	3525
299	1505	3512
300	1507	3501
301	1509	3488
302	1512	3478
303	1514	3467
304	1516	3454
305	1517	3441
306	1523	3438
307	1526	3429
308	1527	3416
309	1529	3404
310	1531	3392
311	1533	3382
312	1536	3372
313	1537	3359
314	1540	3348
315	1543	3340
316	1548	3336
317	1549	3324
318	1551	3312
319	1553	3301
320	1556	3292
321	1561	3288
322	1564	3278
323	1565	3266
324	1567	3255
325	1569	3244
326	1575	3242
327	1577	3231
328	1579	3220
329	1580	3209
330	1585	3204
331	1587	3193
332	1588	3181
333	1589	3170
334	1598	3172
335	1600	3161
336	1602	3152
337	1603	3140
338	1606	3132
339	1612	3129
340	1614	3119
341	1615	3108
342	1617	3098
343	1620	3090
344	1625	3085
345	1627	3076
346	1628	3065
347	1630	3055
348	1634	3048
349	1636	3039
350	1638	3030
351	1640	3019
352	1641	3008
353	1645	3003
354	1651	3000
355	1652	2989
356	1654	2979
357	1657	2972
358	1660	2965
359	1664	2958
360	1665	2948
361	1666	2937
362	1671	2932
363	1675	2927
364	1678	2920
365	1680	2910
366	1681	2900
367	1685	2894
368	1691	2892
369	1693	2883
370	1695	2874
371	1696	2864
372	1702	2861
373	1705	2853
374	1707	2845
375	1708	2835
376	1710	2826
377	1714	2821
378	1717	2814
379	1719	2804
380	1720	2795
381	1723	2789
382	1729	2786
383	1731	2777
384	1733	2768
385	1735	2760
386	1737	2752
387	1741	2747
388	1743	2738
389	1745	2729
390	1749	2725
391	1756	2724
392	1758	2716
393	1760	2707
394	1764	2702
395	1766	2694
396	1768	2686
397	1770	2677
398	1772	2669
399	1775	2662
400	1779	2657
401	1781	2649
402	1782	2641
403	1784	2632
404	1792	2632
405	1795	2626
406	1798	2620
407	1802	2615
408	1804	2607
409	1806	2599
410	1807	2590
411	1811	2585
412	1815	2580
413	1818	2574
414	1820	2566
415	1821	2557
416	1828	2556
417	1830	2549
418	1833	2542
419	1835	2535
420	1842	2534
421	1844	2527
422	1848	2521
423	1851	2515
424	1854	2508
425	1855	2500
426	1857	2493
427	1860	2487
428	1864	2482
429	1867	2475
430	1869	2467
431	1870	2459
432	1875	2455
433	1880	2452
434	1882	2445
435	1884	2437
436	1886	2430
437	1888	2423
438	1893	2419
439	1894	2411
440	1896	2403
441	1902	2401
442	1904	2394
443	1906	2387
444	1908	2379
445	1911	2374
446	1916	2370
447	1917	2363
448	1919	2355
449	1923	2351
450	1928	2347
451	1929	2339
452	1931	2332
453	1935	2327
454	1942	2326
455	1944	2320
456	1946	2313
457	1949	2307
458	1952	2300
459	1953	2293
460	1955	2286
461	1960	2283
462	1964	2278
463	1966	2271
464	1967	2263
465	1971	2259
466	1979	2258
467	1980	2251
468	1982	2244
469	1986	2240
470	1989	2234
471	1991	2227
472	1993	2220
473	1999	2218
474	2002	2212
475	2003	2206
476	2005	2198
477	2012	2197
478	2015	2192
479	2017	2185
480	2018	2178
481	2021	2172
482	2026	2169
483	2029	2163
484	2030	2156
485	2033	2150
486	2037	2146
487	2041	2141
488	2042	2134
489	2044	2127
490	2047	2122
491	2048	2115
492	2051	2109
493	2053	2103
494	2054	2096
495	2058	2091
496	2061	2085
497	2062	2079
498	2064	2072
499	2066	2066
500	2068	2060
501	2072	2056
502	2075	2050
503	2077	2044
504	2079	2038
505	2086	2037
506	2088	2030
507	2089	2024
508	2092	2018
509	2094	2012
510	2098	2008
511	2100	2001
512	2101	1995
513	2109	1994
514	2112	1989
515	2113	1982
516	2115	1976
517	2119	1971
518	2123	1968
519	2126	1962
520	2128	1956
521	2129	1950
522	2134	1946
523	2136	1940
524	2138	1934
525	2139	1928
526	2141	1922
527	2143	1916
528	2151	1915
529	2152	1908
530	2154	1902
531	2157	1898
532	2161	1894
533	2163	1888
534	2165	1882
535	2167	1876
536	2170	1871
537	2177	1870
538	2179	1864
539	2181	1857
540	2183	1852
541	2190	1850
542	2191	1844
543	2193	1838
544	2194	1832
545	2199	1828
546	2201	1823
547	2203	1817
548	2205	1811
549	2206	1805
550	2256	1838
551	2259	1833
552	2266	1831
553	2268	1825
554	2271	1821
555	2273	1815
556	2275	1809
557	2277	1803
558	2279	1798
559	2282	1793
560	2291	1793
561	2293	1787
562	2296	1782
563	2299	1777
564	2300	1771
565	2302	1765
566	2306	1761
567	2307	1755
568	2309	1749
569	2318	1748
570	2319	1743
571	2321	1737
572	2323	1731
573	2326	1726
574	2333	1724
575	2335	1718
576	2337	1713
577	2339	1708
578	2347	1706
579	2349	1701
580	2350	1695
581	2353	1689
582	2360	1688
583	2362	1682
584	2363	1676
585	2366	1672
586	2374	1670
587	2375	1664
588	2377	1658
589	2380	1654
590	2388	1652
591	2390	1647
592	2391	1641
593	2395	1637
594	2399	1633
595	2401	1627
596	2403	1622
597	2414	1622
598	2415	1617
599	2418	1612
600	2427	1611
601	2429	1606
602	2431	1600
603	2433	1595
604	2440	1593
605	2442	1588
606	2444	1582
607	2448	1578
608	2450	1573
609	2451	1567
610	2454	1562
611	2462	1561
612	2463	1555
613	2465	1549
614	2473	1548
615	2475	1543
616	2477	1537
617	2478	1532
618	2486	1530
619	2489	1525
620	2491	1520
621	2493	1515
622	2496	1510
623	2498	1505
624	2500	1500
625	2502	1494
626	2504	1490
627	2506	1484
628	2508	1479
629	2510	1474
630	2513	1469
631	2515	1464
632	2517	1459
633	2525	1457
634	2526	1452
635	2528	1447
636	2531	1442
637	2533	1437
638	2535	1432
639	2537	1427
640	2548	1427
641	2551	1423
642	2561	1421
643	2564	1417
644	2577	1418
645	2579	1413
646	2580	1408
647	2582	1402
648	2589	1400
649	2591	1395
650	2593	1390
651	2594	1385
652	2598	1380
653	2601	1376
654	2602	1370
655	2604	1365
656	2608	1361
657	2612	1358
658	2616	1353
659	2617	1348
660	2619	1343
661	2622	1338
662	2625	1334
663	2628	1330
664	2629	1324
665	2631	1319
666	2636	1316
667	2638	1311
668	2640	1306
669	2642	1301
670	2644	1296
671	2646	1291
672	2652	1288
673	2654	1283
674	2655	1278
675	2659	1274
676	2661	1269
677	2663	1264
678	2664	1259
679	2666	1254
680	2667	1249
681	2674	1246
682	2675	1241
683	2677	1236
684	2679	1232
685	2684	1228
686	2686	1223
687	2688	1219
688	2690	1214
689	2692	1209
690	2696	1205
691	2698	1200
692	2700	1196
693	2702	1191
694	2704	1187
695	2707	1182
696	2709	1177
697	2711	1173
698	2714	1169
699	2718	1165
700	2720	1160
701	2722	1155
702	2725	1151
703	2729	1147
704	2732	1143
705	2733	1138
706	2735	1133
707	2739	1129
708	2742	1125
709	2744	1121
710	2745	1116
711	2747	1111
712	2750	1107
713	2754	1103
714	2757	1099
715	2759	1094
716	2760	1089
717	2762	1085
718	2764	1080
719	2769	1076
720	2770	1072
721	2772	1067
722	2775	1063
723	2779	1059
724	2781	1055
725	2783	1050
726	2784	1045
727	2788	1041
728	2792	1038
729	2795	1034
730	2797	1029
731	2799	1024
732	2800	1020
733	2804	1016
734	2806	1011
735	2807	1007
736	2809	1002
737	2812	998
738	2818	995
739	2820	990
740	2821	986
741	2823	981
742	2825	977
743	2831	974
744	2833	969
745	2834	965
746	2836	960
747	2839	956
748	2843	952
749	2845	948
750	2846	943
751	2848	939
752	2850	935
753	2855	931
754	2856	926
755	2857	922
756	2861	918
757	2862	913
758	2867	910
759	2868	905
760	2870	901
761	2874	897
762	2878	894
763	2881	889
764	2882	885
765	2885	881
766	2888	877
767	2894	874
768	2896	870
769	2902	866
770	2908	863
771	2910	859
772	2911	855
773	2914	850
774	2917	846
775	2921	843
776	2922	838
777	2924	834
778	2928	830
779	2931	826
780	2935	823
781	2936	818
782	2938	814
783	2941	810
784	2944	806
785	2947	802
786	2948	797
787	2950	793
788	2953	789
789	2958	786
790	2959	782
791	2961	777
792	2965	774
793	2968	770
794	2972	766
795	2973	762
796	2975	757
797	2983	755
798	2987	751
799	2999	749
800	3000	745
801	3001	741
802	3005	737
803	3009	733
804	3011	729
805	3012	725
806	3014	720
807	3019	717
808	3021	713
809	3023	709
810	3025	705
811	3027	700
812	3033	697
813	3035	693
814	3037	689
815	3039	685
816	3041	681
817	3045	677
818	3046	673
819	3048	669
820	3050	665
821	3052	660
822	3056	657
823	3057	653
824	3059	648
825	3062	645
826	3064	640
827	3068	637
828	3070	633
829	3071	629
830	3074	625
831	3079	621
832	3081	617
833	3082	613
834	3083	609
835	3088	605
836	3091	602
837	3094	598
838	3096	594
839	3097	589
840	3101	586
841	3104	582
842	3105	578
843	3107	574
844	3112	570
845	3115	567
846	3118	563
847	3122	559
848	3128	556
849	3130	552
850	3132	548
851	3133	544
852	3139	541
853	3141	537
854	3143	533
855	3147	529
856	3151	525
857	3154	521
858	3155	517
859	3156	513
860	3163	510
861	3166	506
862	3168	502
863	3170	499
864	3178	496
865	3181	492
866	3183	488
867	3192	485
868	3194	481
869	3197	477
870	3200	474
871	3203	470
872	3204	466
873	3206	462
874	3252	464
875	3254	460
876	3256	456
877	3258	452
878	3302	454
879	3310	451
880	3318	448
881	3320	444
882	3321	440
883	3350	439
884	3352	435
885	3354	431
886	3357	427
887	3361	423
888	3363	419
889	3365	415
890	3373	412
891	3376	408
892	3377	404
893	3386	401
894	3389	397
895	3391	393
896	3395	389
897	3403	386
898	3404	382
899	3406	378
900	3413	375
901	3415	371
902	3417	367
903	3418	363
904	3422	359
905	3428	355
906	3430	351
907	3432	347
908	3434	343
909	3438	340
910	3440	336
911	3442	332
912	3444	328
913	3447	324
914	3452	320
915	3455	316
916	3456	312
917	3457	308
918	3461	305
919	3467	301
920	3469	297
921	3470	293
922	3472	289
923	3475	285
924	3479	282
925	3481	278
926	3483	274
927	3486	270
928	3490	266
929	3493	262
930	3495	259
931	3496	255
932	3504	251
933	3506	247
934	3508	243
935	3509	239
936	3512	236
937	3516	232
938	3517	228
939	3519	224
940	3520	220
941	3522	216
942	3526	213
943	3528	209
944	3529	205
945	3531	201
946	3533	197
947	3537	194
948	3538	190
949	3540	186
950	3542	182
951	3543	178
952	3550	175
953	3551	171
954	3553	167
955	3554	163
956	3557	159
957	3564	156
958	3565	152
959	3567	148
960	3571	144
961	3579	141
962	3580	137
963	3582	133
964	3586	130
965	3589	126
966	3591	122
967	3592	118
968	3595	115
969	3600	111
970	3603	107
971	3604	103
972	3606	100
973	3609	96
974	3611	92
975	3614	88
976	3615	85
977	3617	81
978	3621	77
979	3624	73
980	3625	70
981	3627	66
982	3630	62
983	3634	59
984	3637	55
985	3638	51
986	3640	47
987	3642	44
988	3644	40
989	3649	36
990	3650	33
991	3652	29
992	3655	25
993	3659	22
994	3663	18
995	3664	14
996	3666	11
997	3669	7
998	3675	3
999	3677	0
